Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
AUDI,AUDI RS4,7_26,491.0,249.0,550.0,3.0,0.0,429.0,776.0,476.0,53.0,0.0,0.0,1.0,57.0,1082.0,946.0,0.0,0.0,0.0,3.0,126.0
AUDI,AUDI RS5,7_30,162.0,407.0,37.0,0.0,2.0,228.0,323.0,215.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI RS6,7_31,663.0,0.0,200.0,633.0,649.0,622.0,446.0,126.0,0.0,0.0,55.0,200.0,218.0,0.0,0.0,26.0,132.0,290.0,38.0,0.0
AUDI,AUDI RS7,7_33,127.0,0.0,9.0,84.0,125.0,109.0,108.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI RSQ3,7_24,697.0,37.0,0.0,0.0,229.0,310.0,411.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI S1,7_34,0.0,1.0,307.0,637.0,586.0,908.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI S3,7_35,1404.0,2705.0,3017.0,4917.0,4144.0,3787.0,2808.0,459.0,582.0,804.0,700.0,269.0,579.0,1157.0,89.0,0.0,2.0,310.0,500.0,436.0
AUDI,AUDI S4,7_36,676.0,227.0,1334.0,2016.0,101.0,416.0,398.0,384.0,389.0,486.0,600.0,374.0,57.0,226.0,360.0,429.0,611.0,188.0,0.0,29.0
AUDI,AUDI S5,7_39,257.0,85.0,2283.0,3350.0,764.0,722.0,422.0,318.0,261.0,539.0,601.0,143.0,575.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI S6,7_41,84.0,117.0,151.0,165.0,117.0,96.0,79.0,88.0,61.0,1.0,28.0,17.0,41.0,92.0,100.0,0.0,4.0,19.0,31.0,29.0
AUDI,AUDI S7,7_42,66.0,70.0,7.0,54.0,68.0,117.0,50.0,66.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI S8,7_43,23.0,0.0,0.0,62.0,210.0,175.0,69.0,56.0,37.0,0.0,6.0,18.0,56.0,96.0,75.0,0.0,0.0,5.0,70.0,45.0
AUDI,AUDI SQ2,7_50,366.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI SQ5,7_44,1198.0,464.0,2046.0,1237.0,2046.0,2172.0,1775.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AUDI,AUDI SQ7,7_45,568.0,170.0,871.0,1016.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI TT,7_46,178.0,331.0,1875.0,2856.0,1837.0,1485.0,3298.0,5973.0,5507.0,6507.0,6524.0,6208.0,7497.0,8371.0,3190.0,4047.0,5527.0,5827.0,5115.0,3606.0
AUDI,AUDI TTRS,7_47,145.0,216.0,334.0,110.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDI,AUDI TTS,7_48,2716.0,4003.0,1836.0,3992.0,6977.0,7105.0,590.0,368.0,133.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENTLEY,BENTLEY ARNAGE,10_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,29.0,40.0,61.0,73.0,106.0,90.0,106.0,134.0,193.0
BENTLEY,BENTLEY AZURE,10_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,14.0,28.0,21.0,0.0,0.0,11.0,8.0,12.0
BENTLEY,BENTLEY BENTAYGA,10_3,436.0,387.0,526.0,545.0,342.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENTLEY,BENTLEY BROOKLANDS,10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENTLEY,BENTLEY CONTINENTAL,10_5,699.0,835.0,600.0,619.0,808.0,774.0,713.0,683.0,704.0,517.0,477.0,403.0,821.0,1242.0,1033.0,1157.0,1111.0,14.0,11.0,10.0
BENTLEY,BENTLEY FLYING SPUR,10_6,26.0,1.0,56.0,85.0,126.0,163.0,187.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BENTLEY,BENTLEY MULSANNE,10_7,29.0,52.0,38.0,72.0,110.0,90.0,81.0,54.0,56.0,81.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW 1 SERIES,8_1,20764.0,23624.0,22628.0,27044.0,28879.0,30499.0,29722.0,36583.0,30517.0,25065.0,27149.0,24467.0,21738.0,16022.0,14621.0,12155.0,3541.0,0.0,0.0,0.0
BMW,BMW 2 SERIES,8_2,9408.0,14842.0,18884.0,15426.0,19046.0,15197.0,4376.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
